Quarter,Territorial authority,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
,  Hastings district (modified),13200,13580,10300,75.9,11760,12090,9060,74.9,35490,7060,4810,17.3,3880,1620,434965100
,  Napier city,12400,12780,9270,72.5,11190,11510,8440,73.3,23100,3830,2670,14.5,1990,830,268570300
,  Central Hawke's Bay district,11860,12110,10800,89.2,11210,11360,10620,93.5,4780,1110,680,19.5,680,250,49563900
,  New Plymouth district,14600,14980,10990,73.4,12310,12650,9210,72.8,33610,4160,3650,11.7,1850,1330,474273500
,  Stratford district,11810,12060,9990,82.8,10800,11150,8630,77.4,2820,380,290,12.2,240,150,31183400
,  South Taranaki district,15100,15600,10640,68.2,13130,13460,9940,73.9,11600,1400,1310,11.7,690,600,168540200
,  Ruapehu district (modified),12880,13370,8900,66.6,11750,12120,8720,72,5050,860,1250,20.1,440,830,60337900
,  Wanganui district,12290,12560,9460,75.3,11110,11340,8160,72,16430,1910,1520,10.6,960,560,193519000
,  Rangitikei district (modified),11600,11830,10240,86.6,10710,10930,9620,88,5060,900,750,16.6,530,390,55494600
,  Manawatu district,12510,12890,9890,76.7,11660,12000,9640,80.3,8180,1240,860,13.1,710,340,96762500
,  Palmerston North city,13870,14280,10000,70,12360,12690,8940,70.5,45570,5510,4920,11.5,2020,1430,602579000
,  Tararua district,11770,12170,9230,75.8,10500,10850,8450,77.9,5590,940,720,15.2,520,300,61345500
,  Horowhenua district,11420,11710,9200,78.6,10330,10570,8140,77,8230,1450,1070,15.7,890,510,89395800
,  Kapiti Coast district,11130,11470,8530,74.4,9920,10210,7560,74.1,11880,1650,1900,14.8,830,1070,126080200
,  Porirua city,13800,14150,10180,71.9,12140,12480,8950,71.7,14450,1990,1450,12.1,970,430,188355400
,  Upper Hutt city,13860,14170,10810,76.3,12590,12920,9310,72.1,10320,1240,940,10.8,630,330,137468800
,  Lower Hutt city,14460,14840,11030,74.3,12700,13050,10000,76.6,41170,5010,4470,11.6,2170,1640,582873900
,  Wellington city,18990,19510,14920,76.5,15650,16170,11580,71.6,143100,18810,16840,12.5,7520,5550,2626633900
,  Masterton district,11760,11750,9640,82,10510,10640,7900,74.3,9910,1520,1130,13.7,810,420,110421000
,  Carterton district,11710,11980,9640,80.5,11000,11180,9340,83.5,2630,340,250,11.4,190,100,29916500
,  South Wairarapa district,11130,11560,8810,76.2,10320,10570,7450,70.5,2820,620,370,18.4,410,160,28719100
,  Tasman district,12130,12510,9890,79.1,10770,11100,8950,80.6,17240,3470,2450,17.7,2030,1000,195992500
,  Nelson city,12850,13190,10070,76.4,11380,11710,9030,77.1,24420,3340,2980,13,1400,1040,305383700
,  Marlborough district,13070,13490,10020,74.3,11750,12070,9120,75.6,20680,4160,4060,19.9,1850,1750,252438800
,  Kaikoura district,12010,12680,9190,72.5,10480,11020,7690,69.8,1400,360,180,20.4,250,70,15328600
,  Buller district,14650,15060,12760,84.7,12430,12710,11970,94.2,3580,480,500,13.7,220,240,53025900
,  Grey district,13160,13490,9650,71.5,12110,12410,8510,68.6,6330,780,710,11.9,360,290,80376500
,  Westland district,12850,13360,10520,78.7,11790,12340,9600,77.8,3590,780,410,17.5,510,140,44136100
,  Hurunui district,11790,12080,10090,83.5,10840,11140,9550,85.7,4070,830,770,19.9,420,360,44728800
,  Waimakariri district,12500,12910,9770,75.7,11560,11960,8990,75.2,13790,2200,1680,14.3,1300,780,162970300
,  Christchurch city (modified),14680,15100,11410,75.6,12860,13210,10250,77.6,199690,27730,23750,13,12220,8240,2796651200
,  Selwyn district,14860,15340,11500,75,13490,13880,10770,77.6,15810,2310,1840,13.3,1190,720,220261200
,  Ashburton district,13150,13500,10570,78.3,12460,12810,10400,81.2,15600,2660,2460,16.5,1290,1090,195943900
,  Timaru district,13330,13680,10800,79,12130,12480,10370,83.1,21070,3070,2610,13.6,1460,1010,266252900
,  Mackenzie district,11450,12030,9240,76.8,10840,11260,9920,88.1,1890,500,400,24.6,310,220,21251800
,  Waimate district,12600,12930,11300,87.4,12000,12230,11060,90.4,2220,340,300,14.6,200,170,26581600
,  Waitaki district,12520,12820,11080,86.4,11440,11680,10570,90.5,8960,1560,1290,16.2,870,590,106612200
,  Central Otago district,11990,12320,10140,82.3,11140,11420,9690,84.9,8710,1950,1750,21.5,970,760,99949100
,  Queenstown-Lakes district,12870,13560,9880,72.9,11090,11660,8790,75.4,19020,4790,5530,26.6,2090,2830,227591000
,  Dunedin city,13580,13950,10140,72.7,12000,12320,8930,72.5,53440,6750,6520,12.4,2800,2560,682721400
,  Clutha district,12740,13180,10040,76.2,12210,12590,10260,81.5,7250,1370,1040,17.1,820,490,84566600
,  Southland district,13440,13930,11450,82.2,13030,13460,11530,85.7,13120,2970,1760,18.9,1950,740,168070600
,  Gore district,12270,12510,10940,87.5,11130,11270,10380,92.1,5760,910,660,14,540,290,66398500
,  Invercargill city,13040,13340,10210,76.5,11690,11980,8800,73.5,25460,3140,2610,11.4,1570,1030,316319600
Sep-15,Total territorial authority,14500,14950,11450,76.6,12370,12740,9900,77.7,1943290,271620,284380,14.3,115490,128250,27362592800
,  Far North district,11390,11690,9210,78.8,10180,10500,7870,75,16020,2080,2820,15,980,1720,177527300
,  Whangarei district,13640,14040,10350,73.7,11880,12250,8880,72.5,30070,3520,3710,12,1370,1560,399177500
,  Kaipara district,12140,12400,10730,86.5,11000,11230,9980,88.9,5350,910,970,17.5,510,580,62043500
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,15810,16390,11940,72.9,13020,13500,10080,74.7,680420,94120,93430,13.8,37600,36920,10451424800
,  Thames-Coromandel district,10770,11040,9070,82.2,9460,9740,7800,80.1,8210,1070,1370,14.6,460,760,86473100
,  Hauraki district,12350,12680,10550,83.2,10720,10950,9580,87.5,4920,760,1080,18.2,330,650,59624500
,  Waikato district,13320,13740,10940,79.6,12110,12500,10590,84.7,14990,2350,2440,16,1070,1160,194049600
,  Matamata-Piako district,13630,13980,11190,80,12320,12550,10750,85.7,13630,2010,1810,14.2,1000,790,181510900
,  Hamilton city,14500,14940,11380,76.2,12630,13020,9600,73.7,77750,9800,9690,12.5,3620,3510,1095392700
,  Waipa district,12760,13140,10250,78,11530,11850,9400,79.3,15650,2260,2250,14.4,1110,1110,195191400
,  Otorohanga district,12960,13260,11420,86.1,12510,12770,11250,88.1,3230,580,610,18.2,280,310,40289300
,  South Waikato district,13570,13820,12000,86.8,12430,12700,11250,88.6,7590,1060,1030,13.7,490,470,100078000
,  Waitomo district (modified),12840,13150,11010,83.7,11120,11270,9640,85.5,3890,570,570,14.7,280,290,49060400
,  Taupo district (modified),12740,13100,10190,77.8,11250,11580,8550,73.8,13740,1990,1970,14.4,910,900,168727500
,  Western Bay of Plenty district,10980,11580,9180,79.3,10020,10580,8610,81.4,14470,3460,7830,33.9,1520,5900,148581500
,  Tauranga city,13370,13830,10470,75.7,11720,12110,9150,75.6,52820,7960,7950,15.1,3420,3410,675623900
,  Rotorua district,12980,13320,10520,79,11460,11770,9300,79,28070,3700,3870,13.4,1540,1700,354854600
,  Whakatane district (modified),12720,13110,9920,75.7,10920,11280,9050,80.2,12210,1710,2020,15.1,770,1080,150699800
,  Kawerau district,16810,17010,15400,90.5,15630,15700,15080,96.1,2410,190,220,8.4,70,100,41181100
,  Opotiki district,10700,11200,8540,76.3,9570,9920,7830,78.9,3000,600,1290,28.5,260,950,29727600
,  Gisborne district,11920,12270,9510,77.5,10660,10980,8370,76.2,17680,2900,3210,17.1,1400,1710,200061300
,  Wairoa district,11580,11910,9630,80.9,10360,10620,8930,84.1,2660,540,580,20.9,280,320,28675300
,  Hastings district (modified),12850,12940,10440,80.7,11450,11560,9440,81.7,33220,4890,7640,18.1,2050,4790,409487200
,  Napier city,12160,12540,9470,75.5,10900,11250,8190,72.8,21930,2730,2990,13,1140,1400,258587200
,  Central Hawke's Bay district,11650,11980,8780,73.3,11200,11440,8430,73.7,4350,660,1310,21.1,310,950,49621400
,  New Plymouth district,14380,14790,10930,73.9,12090,12380,9680,78.2,33110,3880,4250,12.2,1660,2030,475831800
,  Stratford district,11580,11980,8970,74.9,10570,10920,8340,76.4,2730,360,460,14.6,180,290,30638500
,  South Taranaki district,14570,14950,11190,74.9,12940,13300,10820,81.4,11500,1480,1730,13.8,670,920,163050000
,  Ruapehu district (modified),12180,12700,9650,76,10800,11190,8770,78.4,5440,1380,710,20.5,960,290,60314900
,  Wanganui district,11970,12270,9380,76.5,10680,10960,8260,75.4,16040,1750,1810,11.1,780,840,188541400
,  Rangitikei district (modified),11200,11380,10050,88.3,10370,10520,8700,82.7,4920,680,710,14.1,370,400,52662900
,  Manawatu district,11810,12170,9020,74.1,10880,11150,8830,79.2,7800,1010,990,12.9,490,470,89824600
,  Palmerston North city,13370,13770,10010,72.7,11890,12200,9130,74.8,44980,5140,5130,11.4,1850,1840,585295700
,  Tararua district,11320,11650,9320,80,10140,10460,8870,84.8,5370,810,810,15.1,420,420,57671400
,  Horowhenua district,11350,11560,10070,87.1,10170,10400,9220,88.7,7850,1100,1240,14.8,590,730,86908000
,  Kapiti Coast district,10970,11230,9120,81.2,9750,10010,7860,78.5,12150,1590,1590,13.1,780,780,129978200
,  Porirua city,13330,13770,9870,71.7,11780,12190,8380,68.7,13910,1580,2130,13.1,590,1150,182436900
,  Upper Hutt city,13380,13690,10550,77.1,12070,12400,9220,74.4,10020,1110,2390,16.4,500,1780,136864400
,  Lower Hutt city,13860,14230,10680,75.1,12350,12640,9380,74.2,40620,4800,4840,11.9,1890,1930,550600600
,  Wellington city,18190,18660,15160,81.2,15110,15500,12490,80.6,141130,19610,18300,13.5,8200,6890,2513551000
,  Masterton district,11040,11460,8350,72.9,10010,10430,7050,67.6,9520,1660,1700,17.7,1050,1090,105238500
,  Carterton district,11560,11790,9690,82.2,10600,10790,8870,82.2,2540,270,320,11.5,130,180,28631800
,  South Wairarapa district,10840,11190,9110,81.4,9860,10120,8890,87.9,2560,440,600,19.7,230,400,26906300
,  Tasman district,11660,11960,9760,81.6,10430,10730,8400,78.3,16220,2420,3890,18.6,1150,2610,184942900
,  Nelson city,12900,13140,11190,85.2,11290,11520,9540,82.8,24060,3080,3330,13.2,1210,1460,303497500
,  Marlborough district,12630,13040,9980,76.5,11340,11640,9120,78.4,20580,3860,3470,18,2110,1720,247882200
,  Kaikoura district,11180,11260,11650,103.5,9720,9790,10400,106.2,1230,170,240,16.1,85,160,13196500
,  Buller district,14200,14300,14380,100.6,12190,12180,12840,105.4,3600,490,820,17.4,230,560,53705900
,  Grey district,12970,13250,10410,78.6,11880,12150,9380,77.2,6250,660,720,10.9,290,350,80051000
,  Westland district,12510,12820,10170,79.3,11410,11800,9900,83.9,3220,470,610,16.6,220,350,39084800
,  Hurunui district,11360,11810,8850,74.9,10380,10760,8530,79.3,4010,790,820,20,390,420,43500700
,  Waimakariri district,12010,12320,9880,80.2,11060,11330,9640,85.1,13270,1810,1750,13.5,880,820,155712500
,  Christchurch city (modified),14460,14920,11380,76.3,12590,12960,10280,79.3,195710,26270,25790,13.3,10310,9830,2760034400
,  Selwyn district,13920,14300,11490,80.4,12700,13000,10860,83.5,15350,2320,2190,14.8,1120,990,208194900
,  Ashburton district,12760,13050,11060,84.8,12110,12380,10610,85.7,15410,2850,2710,18.1,1400,1260,191145400
,  Timaru district,13020,13360,10380,77.7,11860,12130,9590,79.1,20610,2770,3200,14.3,1200,1630,261790700
,  Mackenzie district,11350,11540,10250,88.8,10370,10410,10020,96.3,1790,380,370,21.1,200,190,20764100
,  Waimate district,12160,12280,12540,102.1,11640,11670,12000,102.8,2200,390,360,17.1,220,190,26247400
,  Waitaki district,12240,12580,10020,79.7,11240,11460,9690,84.6,8680,1400,1650,17.4,620,870,103653000
,  Central Otago district,11830,12080,10300,85.3,10850,11080,9750,88,8500,1560,1490,18.1,820,750,97182400
,  Queenstown-Lakes district,12460,13270,9880,74.5,10670,11350,8740,77,19710,5720,3580,24.9,3380,1240,227845100
,  Dunedin city,12970,13340,9600,72,11540,11910,8630,72.5,53200,6060,6290,11.6,2360,2590,668702100
,  Clutha district,12810,12430,15660,126,12050,12000,13400,111.7,6910,1200,1430,18.7,590,810,84854500
,  Southland district,13020,13280,11610,87.4,12520,12690,11890,93.7,11880,2310,3210,22.4,1040,1940,149088200
,  Gore district,11370,11560,10280,88.9,10450,10660,9360,87.8,5510,870,1020,17,440,580,62383700
,  Invercargill city,12530,12830,9800,76.4,11210,11490,8960,78,24920,2700,3070,11.5,1110,1480,306514900
Jun-15,Total territorial authority,13950,14640,10600,72.4,12000,12550,9220,73.5,1956050,333730,295390,16.2,171200,132860,26436171600
,  Far North district,11040,11550,8520,73.8,9970,10500,7620,72.6,16770,3130,2860,18,1810,1550,178292200
,  Whangarei district,13290,13910,10450,75.1,11620,12130,9130,75.3,30280,4750,4210,14.9,2340,1800,391307400
,  Kaipara district,11790,12410,9570,77.1,10710,11310,9090,80.4,5410,980,990,18.3,590,590,61193100
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,15160,15940,11340,71.1,12690,13310,9620,72.3,679810,115850,96150,15.8,58850,39140,9981795100
,  Thames-Coromandel district,10290,10780,7500,69.6,9120,9550,6440,67.4,8500,1380,1570,17.2,710,890,85255200
,  Hauraki district,11830,12460,8840,71,10460,10940,8070,73.8,5240,960,1240,20.5,580,850,60087700
,  Waikato district,13040,13710,10200,74.4,11920,12420,9500,76.5,15060,2540,2640,17.2,1370,1470,189065700
,  Matamata-Piako district,13420,13890,11980,86.3,12080,12500,10870,87,13430,1870,1770,13.6,980,890,174996300
,  Hamilton city,13720,14430,10190,70.6,12010,12570,8950,71.2,77660,12400,10590,15,6010,4210,1035098600
,  Waipa district,12440,13000,9890,76.1,11230,11690,8830,75.5,15650,2560,2610,16.5,1350,1410,188189600
,  Otorohanga district,12430,12930,8910,68.9,11990,12410,8780,70.8,3270,480,610,16.4,250,380,39647300
,  South Waikato district,13100,13520,11580,85.7,11890,12310,10430,84.7,7580,1090,920,13.5,610,440,96452400
,  Waitomo district (modified),12730,13320,10410,78.2,11020,11440,9710,84.9,3880,570,670,15.7,310,410,47673900
,  Taupo district (modified),11940,12490,8780,70.3,10710,11240,7630,67.9,13720,2140,2230,15.9,980,1070,159596800
,  Western Bay of Plenty district,11210,11910,9070,76.2,10060,10730,8390,78.2,18840,9630,3530,41.7,7870,1770,179066200
,  Tauranga city,12860,13510,9510,70.4,11270,11810,8660,73.3,52790,10390,8420,18.2,5550,3580,645964000
,  Rotorua district,12280,12870,9120,70.9,10880,11440,7920,69.2,28230,4390,4480,15.7,2100,2190,338042700
,  Whakatane district (modified),12430,12960,10170,78.5,10520,11000,8700,79.1,12510,2400,1850,17.4,1460,920,147979900
,  Kawerau district,16650,17380,14460,83.2,15000,16000,12480,78,2440,330,270,12.5,180,110,41495600
,  Opotiki district,10710,11220,9320,83.1,9600,9920,8950,90.2,3690,1630,720,36.3,1230,330,34155600
,  Gisborne district,11560,12190,8730,71.6,10370,10930,7790,71.3,18000,3500,3660,19.8,1810,1970,197997400
,  Wairoa district,11730,11810,13530,114.6,10750,11120,10140,91.2,2700,540,820,23.9,250,530,34107900
,  Hastings district (modified),12210,12840,9710,75.6,10980,11530,9350,81.1,35950,7710,8530,22.3,3690,4510,419495200
,  Napier city,11770,12320,9350,75.9,10570,11060,8210,74.2,22190,3910,3600,17,1970,1660,259547000
,  Central Hawke's Bay district,11210,11590,10500,90.6,10580,10960,9960,90.9,4970,1100,960,21.1,640,490,56472400
,  New Plymouth district,14230,14790,11050,74.7,11760,12220,8980,73.5,33460,4730,4610,14,2320,2190,474547700
,  Stratford district,11230,11930,8300,69.6,10120,10810,6940,64.2,2840,480,360,15.2,300,180,30977800
,  South Taranaki district,14200,14690,12330,83.9,12850,13220,11650,88.1,11750,1420,1480,12.3,730,800,160869100
,  Ruapehu district (modified),11960,12680,8390,66.2,10900,11550,7650,66.2,4760,840,830,17.7,420,420,54384400
,  Wanganui district,11550,11970,9240,77.2,10370,10740,8480,79,16100,2390,2090,14,1400,1100,181523200
,  Rangitikei district (modified),10900,11330,8520,75.2,10100,10590,7830,73.9,4940,730,830,15.7,400,500,51790100
,  Manawatu district,12120,12630,9230,73.1,11260,11700,8730,74.6,7770,1050,1190,14.3,530,680,91149700
,  Palmerston North city,13240,13940,9170,65.8,11750,12310,8480,68.9,44990,6640,5990,14.1,3080,2430,576206600
,  Tararua district,10990,11470,8340,72.7,9950,10470,6930,66.2,5370,790,1040,16.7,410,660,56781200
,  Horowhenua district,10920,11310,9090,80.4,9910,10260,8080,78.8,7970,1130,1000,13.5,600,470,84804000
,  Kapiti Coast district,10450,10950,8740,79.8,9240,9670,7960,82.3,12150,2510,1650,17.7,1570,710,123802500
,  Porirua city,12890,13370,11130,83.3,11510,11900,10200,85.7,14440,2300,2240,15.8,1200,1140,176276700
,  Upper Hutt city,12330,13290,9490,71.4,11080,12050,8220,68.2,11300,1420,1370,12.4,640,600,136785600
,  Lower Hutt city,13530,14060,10840,77.1,11970,12370,9900,80,40590,5900,5160,13.8,2960,2220,542214200
,  Wellington city,17400,18260,13040,71.4,14370,15090,10580,70.1,139860,21510,17990,14.3,10010,6490,2391688700
,  Masterton district,11050,11410,10440,91.5,10000,10360,8700,84,9550,1520,1440,15.6,760,680,103253000
,  Carterton district,11530,11990,8280,69.1,10560,10880,8240,75.7,2590,330,330,12.8,180,180,29072800
,  South Wairarapa district,10480,10990,7990,72.7,9510,10130,6160,60.8,2730,590,660,22.7,330,410,27396900
,  Tasman district,11420,11960,8950,74.8,10340,10800,8420,78,17690,3780,3670,21.1,2060,1950,193081500
,  Nelson city,12060,12640,9340,73.9,10750,11260,8590,76.3,24310,4230,3670,16.5,2100,1540,287739200
,  Marlborough district,12360,12910,9810,76,11200,11660,8910,76.4,20180,4040,4120,20.2,1770,1860,243768800
,  Kaikoura district,10910,11540,7420,64.3,9360,9660,6190,64.1,1300,250,330,21.3,120,210,13876400
,  Buller district,13730,14300,10810,75.6,11880,12350,9720,78.7,3930,510,630,14.2,260,370,57928900
,  Grey district,12800,13350,8710,65.2,11710,12220,7670,62.8,6310,770,850,12.8,330,410,78963300
,  Westland district,12200,12740,9620,75.5,10900,11600,8290,71.5,3340,500,850,19.1,160,500,39121400
,  Hurunui district,11220,11830,8800,74.4,10370,10790,8190,75.9,4040,840,920,21.4,410,490,43260400
,  Waimakariri district,11800,12360,9530,77.1,10790,11400,8630,75.7,13210,2190,1830,15.4,1260,910,151669300
,  Christchurch city (modified),13880,14530,10510,72.3,12180,12700,9440,74.3,195240,31940,28210,15.6,15270,11540,2640543300
,  Selwyn district,13570,14320,10570,73.8,12660,13250,9670,73,15220,2450,2360,15.9,1280,1200,199853200
,  Ashburton district,12510,13060,9590,73.4,11950,12370,9500,76.8,15260,2440,2490,16.1,1120,1160,187682800
,  Timaru district,12500,13050,9710,74.4,11540,12080,8940,74,21060,3120,3410,15.4,1450,1740,258098600
,  Mackenzie district,11040,11760,7860,66.8,10060,10660,8140,76.4,1790,400,590,26.3,120,300,19245900
,  Waimate district,12030,12500,9240,73.9,11350,11740,9500,80.9,2170,360,350,16.4,220,210,25484200
,  Waitaki district,11910,12380,9580,77.4,10850,11280,8460,75,8930,1330,1440,15.4,600,710,105802300
,  Central Otago district,11310,11860,9050,76.3,10240,10800,8460,78.3,8410,1760,3260,27.5,800,2300,93273300
